train_type,coach_no,seat_no,service_class,is_window,is_aisle,is_table,is_forward_msk_spb,is_service,is_free_seating,is_small_pet,is_animal,is_mgn
SAPSAN_TYPE2_UPDATED_FAMILY,3,34,2С,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,35,2С,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,36,2С,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,37,2С,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,38,2С,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,39,2С,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,40,2С,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,41,2С,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,42,2С,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,43,2С,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,44,2С,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,45,2С,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,46,2С,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,47,2С,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,48,2С,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,49,2С,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,50,2С,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,51,2С,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,52,2С,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,53,2С,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,54,2С,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,55,2С,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,56,2С,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,57,2С,1,0,1,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,58,2С,0,1,1,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,59,2С,1,0,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,60,2С,0,1,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,61,2С,1,0,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,62,2С,0,1,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,63,2С,1,0,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,64,2С,0,1,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,65,2С,1,0,0,0,1,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,3,66,2С,0,1,0,0,1,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,1,2Р,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,2,2Р,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,3,2Р,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,4,2Р,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,5,2Р,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,6,2Р,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,7,2Р,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,8,2Р,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,9,2Р,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,10,2Р,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,11,2Р,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,12,2Р,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,13,2Р,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,14,2Р,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,15,2Р,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,16,2Р,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,17,2Р,1,0,1,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,18,2Р,0,1,1,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,19,2Р,1,0,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,20,2Р,0,1,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,21,2Р,1,0,1,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,22,2Р,0,1,1,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,23,2Р,1,0,1,0,0,0,0,0,0
